Subject;RASSETS.RAS01.;RASSETS.RAS02.;RASSETS.RAS03.;RASSETS.RAS04.;RASSETS.RAS05.;SUSCEP.SAS01.;SUSCEP.SAS02.;SUSCEP.SAS03.;RTPROV.TP01.;RTPROV.TP02.;RTPROV.TP03.;RTPROV.TP04.;RTPROV.TP05.;RTPROV.RP01.;RTPROV.RP02.;RTPROV.RP03.;RTPROV.RP04.;RTPROV.RP05.;QSA6.SA601.;QSA6.SA602.;QSA6.SA603.;QSA6.SA604.;QSA6.SA605.;QSA6.SA606.;QIUIPC1.IUI01.;QIUIPC1.IUI02.;QIUIPC1.IUI03.;QIUIPC1.IUI04.;QIUIPC1.IUI05.;QIUIPC1.IUI06.;QIUIPC1.IUI07.;QIUIPC1.IUI08.;Case;WTD_MouseDynamics;WTD_KeystrokeDynamics;WTD_FaceRecognition;WTD_IrisRecognition;WTD_Fingerprint;WTD_Voice;WTD_TouchDynamics;WTD_Profiling;WTD_ConnectionData;WTD_DeviceStatistics;WTD_Location;WTD_ECG;WTD_EEG;WTD_Move;WTD_Gait;EFFIC_MouseDynamics;EFFIC_KeystrokeDynamics;EFFIC_FaceRecognition;EFFIC_IrisRecognition;EFFIC_Fingerprint;EFFIC_Voice;EFFIC_TouchDynamics;EFFIC_Profiling;EFFIC_ConnectionData;EFFIC_DeviceStatistics;EFFIC_Location;EFFIC_ECG;EFFIC_EEG;EFFIC_Move;EFFIC_Gait;RISK_MouseDynamics;RISK_KeystrokeDynamics;RISK_FaceRecognition;RISK_IrisRecognition;RISK_Fingerprint;RISK_Voice;RISK_TouchDynamics;RISK_Profiling;RISK_ConnectionData;RISK_DeviceStatistics;RISK_Location;RISK_ECG;RISK_EEG;RISK_Move;RISK_Gait;Highest.education.level.completed;Household.income.;Age ;Sex;Ethnicity.simplified;Country.of.residence;Nationality;Language
12;7;7;6;7;7;2;2;3;6;6;6;4;6;1;1;2;1;2;2;5;5;2;5;5;5;5;5;6;3;5;3;1;onlineshopping;92;95;95;92;99;91;99;95;96;96;95;95;98;96;96;41;60;87;96;95;84;90;41;88;41;84;65;38;71;37;5;2;4;2;5;14;1;3;7;8;11;11;6;5;4;High school diploma/A-levels;$80000-$89999;35-44;Female;White;United States;United States;English
13;6;2;7;3;5;4;2;4;1;2;1;5;3;7;7;7;5;6;4;4;4;2;5;2;7;6;7;6;5;6;5;6;video;4;4;0;0;0;0;3;3;2;2;2;0;0;2;2;53;55;84;55;100;64;52;52;75;51;46;38;70;46;51;78;65;100;94;100;100;78;72;92;75;99;96;100;75;89;Undergraduate degree (BA/BSc/other);$20000-$29999;25-34;Female;White;United States;United States;English
14;7;7;7;7;7;5;5;5;3;4;2;6;4;4;6;4;4;6;4;4;4;5;4;4;4;7;7;7;7;7;7;7;banking;91;88;100;27;100;100;97;44;90;16;90;0;0;78;69;100;99;100;100;97;100;100;27;100;100;63;100;100;100;100;10;16;62;60;40;42;40;89;19;37;29;100;100;21;62;Undergraduate degree (BA/BSc/other);More than $150000;45-54;Female;White;United States;United States;English
15;6;5;6;4;5;3;2;4;5;5;5;4;4;6;4;3;3;3;4;3;2;1;2;2;5;6;6;7;5;5;6;6;socialmedia;54;54;40;39;56;64;72;63;65;57;72;27;28;55;31;66;68;76;84;84;74;68;63;72;76;79;47;50;61;60;35;32;75;64;58;46;45;40;55;60;53;85;83;67;38;Technical/community college;$40000-$49999;35-44;Male;White;United States;United States;English
16;6;5;6;5;2;3;2;4;2;1;1;2;1;5;4;5;5;6;4;4;4;4;3;3;6;6;7;7;6;6;6;6;socialmedia;100;100;51;50;51;80;100;77;74;92;78;100;100;100;79;78;84;100;100;100;100;78;52;77;79;87;88;81;51;67;8;11;68;80;73;58;17;49;50;51;78;28;45;6;8;Undergraduate degree (BA/BSc/other);$20000-$29999;45-54;Male;White;United States;United States;English
17;7;6;7;7;7;2;1;3;6;6;6;6;6;4;6;4;4;3;5;5;4;5;4;4;7;7;7;7;5;6;5;5;messaging;100;100;0;0;23;0;100;100;83;100;77;100;89;100;54;63;100;100;100;100;100;93;100;100;100;100;71;100;49;28;0;0;100;100;100;100;9;16;82;18;89;25;61;5;26;High school diploma/A-levels;$10000-$15999;35-44;Male;White;United States;United States;English
18;7;7;6;6;7;4;2;4;3;3;3;5;5;5;5;6;5;5;4;2;4;2;2;3;6;5;6;6;5;6;5;5;music;74;77;65;67;63;69;63;68;69;63;76;35;23;66;29;57;58;67;64;70;69;63;58;62;56;70;43;35;53;41;40;40;56;57;55;56;38;56;46;42;47;38;38;36;42;Undergraduate degree (BA/BSc/other);Less than $10000;45-54;Female;White;United States;United States;English
19;7;7;7;7;7;3;3;4;4;4;4;4;4;6;6;7;6;6;5;5;5;5;5;5;7;7;7;7;7;7;7;7;cloud;34;37;0;0;0;0;43;83;88;42;79;0;0;37;0;28;24;68;76;81;63;23;58;92;49;84;4;0;43;0;32;33;100;100;100;100;41;53;62;35;63;100;100;50;59;Doctorate degree (PhD/other);$20000-$29999;35-44;Female;White;United States;United States;English
20;7;7;7;7;1;3;3;3;3;3;3;5;2;6;6;7;7;5;4;4;3;4;4;5;6;7;7;7;7;7;7;7;onlineshopping;64;63;3;0;0;0;60;0;0;0;21;0;0;16;0;74;2;51;50;56;0;57;57;0;19;39;0;0;14;3;17;26;92;81;85;99;0;2;100;79;82;96;86;15;51;High school diploma/A-levels;$100000-$149999;25-34;Female;Black;United States;United States;English
21;7;7;7;1;7;3;3;4;4;4;5;4;4;5;4;6;4;5;4;5;4;5;4;4;6;7;7;7;6;7;7;7;socialmedia;87;76;0;49;87;49;80;70;51;63;86;0;0;72;0;83;83;68;48;91;50;75;51;49;51;77;0;0;73;0;15;28;100;98;49;50;31;36;89;13;80;49;48;30;26;Undergraduate degree (BA/BSc/other);$20000-$29999;65-74;Female;White;United States;United States;English
22;6;6;6;6;6;3;3;4;3;3;3;2;1;6;6;6;6;6;4;5;4;4;4;4;4;6;6;7;6;6;6;7;socialmedia;50;51;0;0;38;50;50;56;49;0;0;32;0;34;21;51;32;52;36;57;55;50;51;51;0;34;14;3;39;18;44;50;97;51;85;56;49;50;52;53;99;45;73;17;22;Graduate degree (MA/MSc/MPhil/other);$60000-$69999;55-64;Female;Black;United States;United States;English
23;7;7;7;7;7;3;1;3;6;2;3;1;1;6;6;7;7;7;3;4;5;2;3;5;6;6;7;7;7;6;7;7;banking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;6;83;11;0;0;0;0;6;0;0;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;Technical/community college;$20000-$29999;35-44;Male;White;United States;United States;English
24;7;5;7;5;7;5;1;5;4;4;3;4;3;4;5;3;3;3;3;2;2;4;2;3;6;7;7;6;6;7;7;7;onlineshopping;76;64;27;33;79;83;67;45;64;61;95;40;15;62;44;0;0;100;100;100;98;0;62;95;34;95;39;24;0;62;0;0;78;65;58;68;0;36;61;0;71;62;69;0;26;Doctorate degree (PhD/other);$60000-$69999;35-44;Male;Asian;United States;United States;English
25;7;7;7;7;7;2;2;4;2;1;2;2;3;7;7;7;7;6;5;5;4;5;4;4;7;7;7;7;7;7;7;7;music;12;19;0;1;0;0;6;36;6;0;0;0;0;14;0;0;0;67;59;63;54;0;0;56;0;61;0;0;0;0;14;25;87;96;91;93;20;4;69;71;97;90;86;71;82;Undergraduate degree (BA/BSc/other);$20000-$29999;25-34;Male;White;United States;United States;English
